Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
USNM,176405,T. t. tana,Mainland Borneo,2.183333333,117.4666667,,f,,,,19.56,,17.64,19.04,14.07,,,,50.82,,,12.76,9.1,3.06,41.51,
USNM,176406,T. t. tana,Mainland Borneo,2.183333333,117.4666667,,m,54.08,53.09,31.08,20.62,33.76,17.78,20.15,14.92,26.51,19.37,58.23,53.18,42.58,30.3,13.9,9.85,3.73,43.32,
USNM,176407,T. t. tana,Mainland Borneo,2.183333333,117.4666667,,f,,,30.72,19.98,34.06,,19.31,13.96,24.82,,56.79,,42.3,30.24,,9.37,3.32,42.62,29.23
USNM,176408,T. t. tana,Mainland Borneo,2.166666667,117.5,,m,54.94,,,20.97,34.65,,20.56,15.78,26.62,19.67,60.3,53.24,43.65,31.8,13.91,9.21,3.26,,
USNM,176409,T. t. tana,Mainland Borneo,2.166666667,117.5,,f,,,,20.42,,17.13,20.47,15.22,25.57,20.2,,,,,14.04,8.45,3.33,,
USNM,176410,T. t. tana,Mainland Borneo,2.166666667,117.5,,f,54.35,53.33,30.8,20.13,34.06,19.32,21.2,16.55,27.09,20.67,58.67,52.82,42.42,30.6,13.89,9.68,3.53,43.89,28.5
USNM,176411,T. t. tana,Mainland Borneo,1.6,118.2,,f,52.31,51.09,29.54,18.86,32.28,18.59,20.13,14.9,25.52,20.47,57.01,,40.72,29.25,13.93,8.91,3.11,41.13,27.79
USNM,176412,T. t. tana,Mainland Borneo,-1.666666667,118.1666667,,m,54.44,53.03,30.36,19.53,33.54,18.82,20.53,14.5,26.41,,59.05,53.26,41.74,30.51,14.32,9.51,3.66,43.41,28.44
USNM,197199,T. t. tana,Mainland Borneo,0.8,117.9166667,,m,,,30.59,19.6,,,,,,,,,41.87,,,,,,
USNM,197200,T. t. tana,Mainland Borneo,0.8,117.9166667,,f,54.39,53.11,30.68,20.53,34.33,18.21,20.59,16.19,26.27,19.9,58.64,52.7,42.86,31.08,13.9,9.66,3.4,44.24,29.25
USNM,197201,T. t. tana,Mainland Borneo,0.816666667,117.7,,f,,,,,33.66,,20.23,,25.94,,57.32,,41.66,30.08,,,,,28.98
USNM,198045,T. t. tana,Mainland Borneo,1.1,117.9,,m,52.87,51.23,29.84,20.15,32.94,17.8,19.84,14.69,25.37,19.65,56.55,51.89,41.54,29.98,13.14,8.96,3.21,41.78,28.18
USNM,198046,T. t. tana,Mainland Borneo,1.1,117.9,,m,52.67,51.72,30.22,19.49,33.04,17.56,19.14,14.26,25.41,19.3,56.57,50.75,41.06,29.58,13.43,9.63,3.25,42.14,28.1
USNM,198047,T. t. tana,Mainland Borneo,1.1,117.9,,m,54.56,53.24,31.56,20.31,34.75,17.84,20.65,14.51,26.02,20.24,58.61,53.32,43.24,31.84,13.16,9.98,3.44,44.16,29.67
USNM,198048,T. t. tana,Mainland Borneo,1.1,117.9,,m,52.65,51.87,30.68,20.29,33.13,17.48,,15.6,25.24,19.58,,51.35,40.79,29.27,,9.63,3.33,42.45,28.81
USNM,198049,T. t. tana,Mainland Borneo,1.183333333,117.9166667,,f,51.89,50.4,29.82,19.78,32.66,18.15,19.73,15.11,25.28,20.35,56.24,50.46,41.12,29.94,13.59,8.81,3.29,41.39,28.41
USNM,199158,T. t. tana,Mainland Borneo,0.5,117.15,,f,51.95,50.64,29.77,19.3,32.6,18.25,19.45,14.59,24.78,,55.78,50.44,40.83,29.39,13.28,8.9,2.57,41.75,28.53
AMNH,106483,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,53.52,51.65,29.6,19.86,33.68,18.16,20.48,15.07,25.84,19.69,58.58,,42.21,30.84,13.67,9.34,3.15,43.31,28.45
AMNH,106485,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,55.92,54.02,31.22,19.92,35.41,18.74,19.58,14.76,24.8,20.12,60.45,54.29,43.89,32.57,13.66,9.37,2.93,45.09,30.16
AMNH,103409,T. t. tana,Mainland Borneo,2.716666667,117.2166667,,m,55.63,54.14,,,35.09,19.95,20.08,14.85,25.91,20.3,60.38,53.46,43.11,32,13.86,8.76,3.38,43.94,30.11
AMNH,103410,T. t. tana,Mainland Borneo,2.716666667,117.2166667,,f,54.89,53.55,30.63,19.97,34.44,19.44,21.02,15.63,27.27,20.63,59.4,52.17,42.75,31.77,13.77,9.17,3.53,43.47,29.24
AMNH,103411,T. t. tana,Mainland Borneo,2.716666667,117.2166667,,m,54.89,53.47,31.31,19.61,34.51,18.65,,14.86,26.17,20.53,59.5,54.5,42.91,31.43,13.98,9.21,3.4,43.62,
AMNH,102511,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,54.76,53.23,31.25,19.91,34.45,17.85,20,15.82,24.8,20.16,59.7,53.5,43.4,31.79,13.16,8.79,3.14,43.81,30.06
